cell_sha,alpha,beta,gamma,p_skills,seed,final_reward,status,elapsed_s
57ca82d8213f,1.0,2.0,0.0,-1.0,314,-0.994999949587509,ok,10.407103959005326
57ca82d8213f,1.0,2.0,0.0,-1.0,271,-0.8400000283727422,ok,8.645763957989402
58321ee61032,1.0,2.0,0.5,-10.0,42,-0.640000025043264,ok,9.074676165997516
58321ee61032,1.0,2.0,0.5,-10.0,7,-0.2264285683631897,ok,8.942792874993756
58321ee61032,1.0,2.0,0.5,-10.0,123,-0.8899999996647239,ok,10.021971000009216
58321ee61032,1.0,2.0,0.5,-10.0,314,-0.8950000344775617,ok,9.769825541006867
58321ee61032,1.0,2.0,0.5,-10.0,271,-0.6399999801069498,ok,8.996923749975394
78ab4d5a8bd5,1.0,2.0,0.5,-5.0,42,-0.640000025043264,ok,9.061709540954325
78ab4d5a8bd5,1.0,2.0,0.5,-5.0,7,-0.2264285683631897,ok,9.424206292023882
78ab4d5a8bd5,1.0,2.0,0.5,-5.0,123,-0.8899999996647239,ok,10.032415624998976
78ab4d5a8bd5,1.0,2.0,0.5,-5.0,314,-0.8950000344775617,ok,10.210714374959935
78ab4d5a8bd5,1.0,2.0,0.5,-5.0,271,-0.6399999801069498,ok,8.67783766699722
e92d7a0b575f,1.0,2.0,0.5,-1.0,42,-0.640000025043264,ok,9.06275874999119
e92d7a0b575f,1.0,2.0,0.5,-1.0,7,-0.2264285683631897,ok,9.492704666976351
e92d7a0b575f,1.0,2.0,0.5,-1.0,123,-0.8899999996647239,ok,9.900732875044923
e92d7a0b575f,1.0,2.0,0.5,-1.0,314,-0.8950000344775617,ok,10.70684399997117
e92d7a0b575f,1.0,2.0,0.5,-1.0,271,-0.6399999801069498,ok,9.330832208041102
1ade749b68e3,1.0,2.0,1.0,-10.0,42,-0.4400000022724271,ok,9.197414625028614
1ade749b68e3,1.0,2.0,1.0,-10.0,7,-0.44000000320374966,ok,10.018387832969893
1ade749b68e3,1.0,2.0,1.0,-10.0,123,-0.6066667390987277,ok,10.562190791009925
1ade749b68e3,1.0,2.0,1.0,-10.0,314,-0.7949999640695751,ok,10.247673458012287
1ade749b68e3,1.0,2.0,1.0,-10.0,271,-0.4399999510496855,ok,9.019713875022717
8f3e29426fe4,1.0,2.0,1.0,-5.0,42,-0.4400000022724271,ok,8.941628000000492
8f3e29426fe4,1.0,2.0,1.0,-5.0,7,-0.44000000320374966,ok,9.369818417006172
8f3e29426fe4,1.0,2.0,1.0,-5.0,123,-0.6066667390987277,ok,9.915438041032758
8f3e29426fe4,1.0,2.0,1.0,-5.0,314,-0.7949999640695751,ok,10.166216125013307
8f3e29426fe4,1.0,2.0,1.0,-5.0,271,-0.4399999510496855,ok,8.704951291030739
4e5a0ad342e4,1.0,2.0,1.0,-1.0,42,-0.4400000022724271,ok,9.61908954201499
4e5a0ad342e4,1.0,2.0,1.0,-1.0,7,-0.44000000320374966,ok,10.069640707981307
4e5a0ad342e4,1.0,2.0,1.0,-1.0,123,-0.6066667390987277,ok,10.121240124979522
4e5a0ad342e4,1.0,2.0,1.0,-1.0,314,-0.7949999640695751,ok,10.347063292050734
4e5a0ad342e4,1.0,2.0,1.0,-1.0,271,-0.4399999510496855,ok,9.445619916019496
